id,name,description,image
1,Салат капустный,None,None
2,Курица запеченная в фольге,None,None
3,Шурпа с пельменями,None,None
4,Компот из сухофруктов / чай,None,None
5,"Булочка пшеничная, финики",None,None
6,Салат Оливье,None,None
7,Котлета говяжья,None,None
8,Картофельное пюре,None,None
9,Лапша куриная,None,None
10,Салат Овощное Трио,None,None
11,Борщ с говядиной,None,None
12,Котлета из индейки,None,None
13,Рис отварной,None,None
14,Салат Винегрет,None,None
15,Плов с говядиной,None,None
16,Чай черный,None,None
17,Салат Весна,"редис, капуста пекинская, огурцы св., яйцо куриное, зелень",None
18,Солянка по татарски,None,None
19,Фунчоза с говядиной,None,None
20,Торт медовый,None,None
21,Суп Чечевичный турецкий,None,None
22,Куриная отбивная под шубкой,None,None
23,Картофель бейби с зеленью и чесноком,None,None
24,Сочник с творогом,None,None
25,Салат Жай,"помидоры, огурцы св., лук репчатый, соль",None
26,Рассольник,None,None
27,Торт шоколадный,None,None
28,Салат Морковь по корейски,None,None
29,Ащу по-татарски,None,None
30,Шарлотка с яблоками,None,None
31,Салат Татарстан,"колбаса, перец болг., сыр чеддер, сыр белебей, огурцы соленые/корнишоны, помидоры, кукуруза, зелень",None
32,Куриная грудка с ананасом,None,None
33,Королевская ватрушка,None,None

